q0_w	q0_x	q0_y	q0_z	q1_w	q1_x	q1_y	q1_z	q2_w	q2_x	q2_y	q2_z	q3_w	q3_x	q3_y	q3_z	q4_w	q4_x	q4_y	q4_z	
0.511436	-0.073207	-0.199692	0.832465	0.887828	-0.164192	-0.096156	0.418849	0.999435	-0.025670	0.004343	-0.019395	0.923991	-0.041596	0.077554	-0.371954	0.572398	0.008823	0.189887	-0.797589
0.510943	-0.071880	-0.199603	0.832920	0.887541	-0.164152	-0.096054	0.419428	0.999423	-0.025586	0.004442	-0.018966	0.924108	-0.040718	0.077625	-0.371760	0.572945	0.009180	0.189537	-0.797274
0.510510	-0.071316	-0.199948	0.833181	0.886899	-0.164184	-0.095898	0.420888	0.999466	-0.025442	0.004469	-0.018418	0.924122	-0.040654	0.077995	-0.371731	0.573218	0.010063	0.189294	-0.797093
0.510142	-0.070385	-0.200111	0.833440	0.886651	-0.163909	-0.095557	0.421562	0.999485	-0.025195	0.004582	-0.018483	0.924079	-0.040717	0.078246	-0.371687	0.573289	0.010179	0.189298	-0.797082
0.509977	-0.069986	-0.200220	0.833561	0.886452	-0.164066	-0.095486	0.421887	0.999438	-0.025379	0.004790	-0.018774	0.924175	-0.040940	0.078571	-0.371395	0.573545	0.009833	0.189549	-0.796844
0.511225	-0.070938	-0.199948	0.832724	0.886342	-0.164793	-0.095428	0.421776	0.999459	-0.025377	0.005044	-0.019006	0.924467	-0.042390	0.079567	-0.370235	0.574396	0.009038	0.189580	-0.796227
0.513593	-0.071582	-0.199329	0.831384	0.886618	-0.169235	-0.094809	0.419644	0.999399	-0.026597	0.005041	-0.018959	0.924809	-0.044020	0.080070	-0.369088	0.580861	0.006294	0.188634	-0.791752
0.518404	-0.073259	-0.198527	0.828468	0.886913	-0.176179	-0.095393	0.415980	0.999374	-0.027398	0.005089	-0.019170	0.925459	-0.048387	0.081076	-0.366797	0.588975	0.002949	0.187129	-0.786131
0.526563	-0.077662	-0.197211	0.823163	0.888174	-0.183613	-0.096851	0.409755	0.999362	-0.028148	0.005147	-0.019626	0.928803	-0.056342	0.084626	-0.356251	0.601212	-0.003741	0.187846	-0.776593
0.557622	-0.093405	-0.192589	0.801934	0.890823	-0.190302	-0.097134	0.400700	0.999315	-0.028654	0.005325	-0.020273	0.932415	-0.058896	0.085135	-0.346046	0.617972	-0.009311	0.185975	-0.763747
0.580574	-0.101002	-0.187456	0.785730	0.901713	-0.197450	-0.092129	0.373121	0.999320	-0.027467	0.005634	-0.021531	0.937116	-0.058544	0.083936	-0.333525	0.664426	-0.015998	0.178321	-0.725527
0.607654	-0.109380	-0.181976	0.765175	0.909111	-0.197219	-0.087168	0.356114	0.999324	-0.025914	0.005732	-0.022570	0.942204	-0.057099	0.082415	-0.319441	0.692351	-0.016575	0.171498	-0.700634
0.637427	-0.114945	-0.173754	0.741678	0.916980	-0.195222	-0.081728	0.337866	0.999382	-0.024422	0.005828	-0.023543	0.953952	-0.045818	0.074133	-0.286873	0.721452	-0.014784	0.161483	-0.673200
0.700219	-0.123227	-0.154635	0.685877	0.924947	-0.192027	-0.075544	0.318982	0.999394	-0.022559	0.005906	-0.024472	0.959138	-0.041304	0.070950	-0.270546	0.750278	-0.012316	0.151496	-0.643373
0.730690	-0.125095	-0.143982	0.655434	0.940138	-0.180983	-0.064568	0.281086	0.999439	-0.019134	0.005874	-0.025960	0.963414	-0.038237	0.069275	-0.255858	0.803920	-0.006897	0.131795	-0.579880
0.759018	-0.125447	-0.133838	0.624537	0.946678	-0.176621	-0.059504	0.262508	0.999442	-0.018052	0.005778	-0.026315	0.967362	-0.034597	0.068088	-0.241423	0.827323	-0.006255	0.122981	-0.548010
0.785363	-0.123406	-0.124078	0.593704	0.952126	-0.173641	-0.054358	0.245209	0.999465	-0.017386	0.005622	-0.026287	0.973730	-0.027154	0.068454	-0.215295	0.848611	-0.005546	0.114556	-0.516367
0.830998	-0.114410	-0.107229	0.533565	0.956806	-0.171828	-0.049784	0.228652	0.999435	-0.015940	0.005581	-0.026840	0.976344	-0.025453	0.069303	-0.203068	0.867489	-0.004178	0.105586	-0.485958
0.849946	-0.109444	-0.099801	0.505516	0.965384	-0.164323	-0.040445	0.197928	0.999430	-0.013474	0.006353	-0.028803	0.978647	-0.023081	0.069924	-0.191594	0.897553	-0.000159	0.090968	-0.431285
0.866608	-0.105345	-0.093216	0.478614	0.968397	-0.163833	-0.037019	0.183905	0.999443	-0.012955	0.006495	-0.029736	0.980797	-0.021834	0.070598	-0.180310	0.909527	0.002098	0.085061	-0.406759
0.881152	-0.103987	-0.086291	0.452876	0.970686	-0.165070	-0.034198	0.170741	0.999383	-0.012683	0.006592	-0.030725	0.984248	-0.022758	0.071587	-0.159682	0.919870	-0.000493	0.081668	-0.383446
0.905868	-0.102131	-0.073697	0.404275	0.972686	-0.166325	-0.031374	0.158389	0.999364	-0.011553	0.006707	-0.031685	0.985793	-0.023596	0.071562	-0.149828	0.929133	0.001903	0.076231	-0.361598
0.916947	-0.099874	-0.068127	0.380082	0.976005	-0.167618	-0.025840	0.135968	0.999332	-0.009956	0.006828	-0.033216	0.987231	-0.022069	0.070780	-0.140342	0.944815	0.004310	0.067895	-0.320201
0.927117	-0.096900	-0.062849	0.356345	0.978222	-0.163472	-0.023008	0.125022	0.999374	-0.008508	0.006324	-0.033114	0.988451	-0.021471	0.070295	-0.131874	0.951889	0.003849	0.063976	-0.299416
0.936514	-0.093531	-0.057949	0.332654	0.980166	-0.159657	-0.020120	0.114895	0.999341	-0.007350	0.005954	-0.032874	0.990511	-0.019422	0.070393	-0.115620	0.958402	0.004564	0.059109	-0.279040
0.953214	-0.086068	-0.048341	0.285527	0.981483	-0.158192	-0.018124	0.105769	0.999384	-0.006322	0.005784	-0.032923	0.991424	-0.018231	0.069650	-0.108265	0.964048	0.006063	0.054438	-0.259818
0.960117	-0.080758	-0.044060	0.263872	0.983873	-0.153926	-0.014179	0.089366	0.999384	-0.004021	0.004988	-0.032626	0.992208	-0.018177	0.069371	-0.101318	0.973203	0.007510	0.046001	-0.224893
0.966160	-0.074237	-0.040608	0.243402	0.984827	-0.151611	-0.011883	0.082576	0.999414	-0.002990	0.004688	-0.032498	0.992856	-0.019104	0.068527	-0.095378	0.976916	0.008829	0.041791	-0.208922
0.971286	-0.069897	-0.037171	0.223964	0.985875	-0.148308	-0.010054	0.076207	0.999407	-0.001539	0.004314	-0.032514	0.994057	-0.017867	0.066250	-0.084040	0.980142	0.009172	0.038181	-0.193974
0.979063	-0.064050	-0.029410	0.190470	0.986605	-0.146440	-0.008164	0.070414	0.999442	-0.000634	0.004089	-0.032560	0.994488	-0.018974	0.065663	-0.078847	0.983100	0.008581	0.034703	-0.179344
0.982025	-0.064898	-0.025198	0.174953	0.987131	-0.147345	-0.005552	0.060848	0.999378	0.001462	0.003723	-0.033340	0.994911	-0.019493	0.064670	-0.074142	0.987652	0.006804	0.028381	-0.153290
0.984886	-0.061676	-0.022291	0.160022	0.987268	-0.148078	-0.004605	0.056356	0.999342	0.002348	0.003786	-0.034233	0.995309	-0.020371	0.063816	-0.069246	0.989437	0.004139	0.026246	-0.141935
0.987336	-0.060890	-0.018649	0.144779	0.987591	-0.147532	-0.003984	0.051809	0.999332	0.003003	0.003777	-0.034689	0.995930	-0.023289	0.061683	-0.060279	0.991092	0.004006	0.023655	-0.130647
